Primary Tag,Secondary 1,Secondary 2,Secondary 3,Secondary 4,Secondary 5,Secondary 6,Secondary 7,Secondary 8,Description
Data Analytics,Marketing Analytics,Data Visualization,Market Research,Marketing Services,,,,,"Chartbeat provides real-time analytics to Websites and blogs. It shows visitors, load times, and referring sites on a minute-by-minute basis allowing companies to know where to place ads."
Workforce of the Future,Talent Sustainability,Performance Management,Workforce Analytics,,,,,,Culture-first software company that is building the world's leading People Analytics platform for people and culture.
Market Intelligence,Data Aggregation,Cloud Services and Platforms,Mobile and Web Development,Market Research,Information Exchange,Customer Analytics,,,"Factual provides ""location-data-as-a-service"" that companies can leverage to deliver location-aware mobile experiences, content, and ad targeting. It's database includes a variety of attributes on products, businesses, and other points of interest updated in real-time. Users can integrate the location data into their own apps and products and also analyze it to identify patterns."
Digital Enterprise,Talent Sustainability,Performance Management,Cloud Services & Platforms,,,,,,"Justworks is a cloud platform for managing employee benefits, payroll, and HR compliance processes. It targets small to medium sized enterprises."
Workforce of the Future,Talent Sustainability,Virtual Collaboration,Knowledge Management,Project Management,,,,,Lever is a modern web-app that enables enterprises to hire top candidates more efficiently by introducing a new way to track applicants.
Data Analytics,Supply Chain Analytics,Data Aggregation,Advanced Manufacturing,Global Delivery,,,,,"MetPack offers a delivery management platform for local and global e-commerce, offering highly configurable software which connects shippers with all parcel carriers, alternative drop-off, collection and return solutions"
Workforce of the Future,Talent Sustainability,Exchanges,,,,,,,"StepStone is an online job board business in Europe and operates some of the strongest online job portals with over 50 million visits and more than 500,000 jobs per month."
Crowdsourcing,Market Research,Customer Analytics,Social Media,Exchanges,,,,,Trustpilot is an online platform for consumers to post reviews of their experiences with businesses and read the reviews of others. Businesses can aggregate and analyze the data in real-time to inform their engagement strategies and improve their products and services.
Digital Enterprise,Cloud Services and Platforms,Enterprise Intelligence,Customer Analytics,,,,,,Zendesk is a customer service and support platform for enterprises that integrates customer inquiries and issues across channels and applications in one place. It includes analysis and reporting features for identifying and preventing top issues and improving customer service over time.
Digital Enterprise,Digital Transformation Services,Performance Management,Customer Analytics,Marketing Services,Financial Analytics,Marketing Analytics,,,"From acquisition to analytics, Zuora delivers the features and functionalities you need to run a subscription business, all in one convenient, cloud-based toolbox."
Data Management,Cloud Storage,Data Aggregation,Knowledge Management,Virtual Collaboration,Project Management,,,,"Alfresco provides an enterprise content management solution that can be deployed on the cloud or on-premise, and can integrate with cloud and on-premise applications simultaneously. It has robust document management capabilities that can handle large media file formats and includes workflow management features for enterprise-wide file sharing and collaboration."
Data Management,Data Infrastructure,Data Aggregation,Cloud Services & Platforms,Digital Transformation Services,Cloud Storage,,,,"ClusterHQ offers Flocker, which expands the Docker ecosystem by giving developers a tool for managing data volumes in Docker clusters and making them as portable as their Docker containers. It supports many of the most popular databases, key-value stores and message queueing services and runs on most cloud computing platforms, with support for CoreOS, Cloud Foundry and Mesosphere coming soon."
Cybersecurity,Cyber Intelligence,Information Security,IT Vulnerability & Threat Assessment,Machine Learning,Enterprise Intelligence,,,,"CrowdStrike offers a managed endpoint protection solution, helping enterprises detect and prevent known and unknown cyber attacks from sources beyond malware. It leverages machine learning to conduct advanced threat modeling and prioritize potential attacks before they happen. It also provides real-time cyber intelligence services and a 24/7 center of excellence for advanced monitoring and support."
